"filename", "language", "JSON with Comments", "SCSS", "JSON", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\event-detail-page\event-detail-page.component.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\event-detail-page\event-detail-page.component.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 0, 12, 137
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\login-page\login-page.component.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\login-page\login-page.component.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\login-page\login-page.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\main-page\main-page.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\main-page\main-page.component.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\main-page\main-page.component.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\organisation-page\organisation-page.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\organisation-page\organisation-page.component.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\organisation-page\organisation-page.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 8, 68
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\recent-events\recent-events.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\recent-events\recent-events.component.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\recent-events\recent-events.component.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 8, 72
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\signup-page\signup-page.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\signup-page\signup-page.component.scss", "SCSS", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\signup-page\signup-page.component.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 8, 71
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\training-page\training-page.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 4, 29
